id,recipe_id,direction_number,direction,,
454,50,3,"Microwave, uncovered, on high for 1 minute, then stir",,
455,50,4,"Continue warming mixture until smooth and combined, about 30 seconds longer",,
456,50,5,Stir in vanilla,,
457,50,6,Pour chocolate mixture over cereal and stir until evenly coated,,
458,50,7,Transfer to a 2-gallon resealable plastic bag,,
459,50,8,Add powdered sugar to the bag and seal; shake until well-coated,,
460,50,9,Evenly spread cereal out onto waxed paper to cool,,
461,51,1,"In a pan, saut?Ÿ?? onion and garlic in cooking oil over medium heat until golden brown",,
462,51,2,Add the bologna and saut?Ÿ?? until cooked,,
463,51,3,Reduce oil and add beaten eggs with salt and pepper,,
464,51,4,Reduce the heat to low and leave to cook,,
465,51,5,Make sure to not stir the eggs,,
466,51,6,Sprinkle cubes of Eden Cheese over the eggs,,
467,51,7,"Cover and leave to cook for 5 minutes, until cheese has melted and the eggs are cooked",,
468,51,8,Fold into an omelet and serve,,
469,52,1,Break up the onion slices into rings,,
470,52,2,Set aside,,
471,52,3,"Combine flour, baking powder, and salt, in a small bowl and mix well",,
472,52,4,Dredge the onions on the flour mixture and set aside,,
473,52,5,"Meanwhile, make the batter by adding the egg and milk on the flour mixture and whisk",,
474,52,6,Dip the onions on the batter and allow the extra batter to drip,,
475,52,7,Place the breadcrumbs in a plastic bag or container and put-in the onions rings,,
476,52,8,Heat a cooking pot and pour-in cooking oil,,
477,52,9,"When the oil is hot, deep-fry the onion until the color turns golden brown",,
478,52,10,"Remove the onion rings from the cooking pot and place in a plate lined with paper towels, to absorb the excess oil",,
479,52,11,"Transfer to a serving plate and serve, Share and enjoy!",,
480,53,1,Heat the cooking oil in a deep cooking pot,,
481,53,2,Deep fry the tofu,,
482,53,3,"When the color turns light to medium brown, remove and set aside",,
483,53,4,"Meanwhile, heat a pan and then pour in a tablespoon of cooking oil",,
484,53,5,"When the oil becomes hot, put-in the garlic and cook for 20 seconds",,
485,53,6,"Add the pineapple chunks, onion, green and red bell peppers",,
486,53,7,Stir and cook for 3 to 5 minutes,,
487,53,8,"Combine sugar, soy sauce, vinegar, water, and ketchup in a bowl",,
488,53,9,"Mix well, Pour-in mixture to the pan where the vegetables are cooking",,
489,53,10,Stir and let boil,,
490,53,11,Pour-in the cornstarch diluted in water,,
491,53,12,Stir until the sauce thickens,,
492,53,13,Add the deep fried tofu,,
493,53,14,Stir,,
494,53,15,"Transfer to a serving plate, Share and enjoy!",,
495,54,1,Heat oil in a cooking pot,,
496,54,2,Saute onion and garlic until onion becomes soft,,
497,54,3,"Add pork, Cook until brown Pour 1 ???« up to 2 cups of water",,
498,54,4,Let boil Add Knorr Pork Cube,,
499,54,5,"Stir, Cover the pot and cook between low to medium heat until the liquid evaporates and the pork tenderizes",,
500,54,6,"Add parsley, carrot, kamote, and ???« cup water",,
501,54,7,"Cover the cooking pot, Cook for 2 minutes Put the long green beans and cabbage into the pot",,
502,54,8,Toss,,
503,54,9,Cover the pot and cook for 5 minutes,,
504,54,10,Season with fish sauce and ground black pepper,,
505,54,11,"Add singkamas, Toss, Arrange on a serving plate Set aside",,
506,54,12,Prepare the sauce by combining cornstarch with 3 tablespoons water,,
507,54,13,Stir until the cornstarch dilutes,,
508,54,14,"Set aside, Pour 1 ???« cups water into a saucepan",,
509,54,15,Let boil,,
510,54,16,Add soy sauce and garlic,,
511,54,17,"Cook for 2 minutes, Add dark brown sugar",,
512,54,18,Stir Pour the cornstarch diluted in water,,
513,54,19,Stir,,
514,54,20,Continue to cook while stirring until the desired consistency is achieved,,
515,54,21,Pour the sauce over lumpiang hubad Top with crushed peanuts,,
516,55,1,"In a pot combine all ingredients apart from the sweet potato tops, bring it to a boil then simmer for 5 minutes",,
517,55,2,Add the sweet potato tops then simmer for 2 more minutes,,
518,55,3,Season with freshly ground black pepper then serve,,
519,56,1,"Over hot coals or gas stove, grill eggplants until skins are charred",,
520,56,2,"Remove from heat and under running water, peel skin and rinse well",,
521,56,3,Coarsely chop flesh,,
522,56,4,"In a skillet over medium heat, heat oil",,
523,56,5,Add onions and garlic and cook until softened,,
524,56,6,"Add tomatoes and continue to cook, mashing with the back of the spoon, until softened",,
525,56,7,Add eggplant,,
526,56,8,Season with salt and pepper to taste,,
527,56,9,"Add beaten eggs, stirring to combine, and continue to cook until eggs are just set",,
528,56,10,Serve hot,,
529,57,1,Soak the chopped banana blossoms in the bowl with brine for 15 to 20 minutes,,
530,57,2,"After soaking, squeeze tightly to release the sap from the banana blossoms",,
531,57,3,Place in a colander to drain the water,,
532,57,4,Set aside,,
533,57,5,Heat the cooking oil in a pan,,
534,57,6,Saute the garlic and onion,,
535,57,7,Add the banana blossoms,,
536,57,8,Cook for 5 minutes,,
537,57,9,"Pour-in the fish sauce and vegetable broth, Stir and let boil",,
538,57,10,Pour-in the vinegar,,
539,57,11,"Allow to re-boil, cover, and simmer for 10 to 15 minutes",,
540,57,12,Add the green chili and ground black pepper,,
541,57,13,Stir and continue to cook for 5 minutes,,
542,57,14,Turn-off the heat and transfer to a serving plate,,
543,57,15,"Serve, Share and enjoy!",,
544,58,1,Heat vegetable oil in a pan over medium heat,,
545,58,2,"Saut?Ÿ?? onions, garlic, and ginger for 2 minutes",,
546,58,3,Add tausi and cook for 2 minutes,,
547,58,4,"Add rice wine; allow to boil, then simmer for 1 minute",,
548,58,5,Combine cornstarch and 1 teaspoon water in a small bowl,,
549,58,6,Add to pan to thicken sauce until desired consistency is achieved,,
550,58,7,"Add fried tofu, Mix well, Season to taste with pepper and soy sauce",,
551,58,8,Turn off heat,,
552,58,9,Drizzle with sesame oil and garnish with kinchay sprigs,,
553,59,1,"In a large mixing bowl, combine all batter ingredients in a bowl starting with the dry ingredients and ending by adding water and egg",,
554,59,2,Mix well,,
555,59,3,Add the dulong and mung bean sprouts,,
556,59,4,Gently stir until all ingredients are well blended,,
557,59,5,Heat oil in a pan,,
558,59,6,Arrange 1/2 cup of mixture in a saucer,,
559,59,7,Note: make sure the there is enough batter in the mixture,,
560,59,8,"Once the oil gets hot, Slide the mixture into the pan",,
561,59,9,Cook one side in medium het until it turns golden brown and crisp,,
562,59,10,Turn over using a spatula,,
563,59,11,Cook the other side the same way,,
564,59,12,Remove the dulong okay from the pan,,
565,59,13,Stack in a plate with paper towels,,
566,59,14,Serve with spicy vinegar such as pinakurat or sinamak,,
567,59,15,Share and enjoy!,,
568,60,1,"In a wok, heat oil and saute, garlic, onions and tomatoes until soft and fragrant",,
569,60,2,Add cubed white radish and stir fry for a few minutes,,
570,60,3,Add 1/2 cup water and bring it to a boil,,
571,60,4,Just let it simmer and let it cook for about 5 minutes or until the radish becomes tender,,
572,60,5,"Add in siling haba, tuna flakes and mix well with the veggies",,
573,60,6,Cover wok and let it simmer,,
574,60,7,Season with salt and pepper to taste,,
575,60,8,Turn off heat and transfer into a serving bowl Enjoy!,,
576,61,1,Dice egg whites of hard boiled eggs (use egg yolks for other recipes). Set aside.,,
577,61,2,Mix margarine and salt. Add egg whites and the rest of the ingredients. Mix well. Cover and chill.,,
578,61,3,Serve as sandwich spread or as toppings for crackers.,,
579,62,1,"In bowl, place quick oats, milo powder and sugar.",,
580,62,2,Add 1/2 to 3/4 cup just-boiling water. Let sit 1 min. Stir and eat.,,
581,63,1,Prepare the corned beef by saut?ing. Heat oil in a pan and then saute garlic and onion. Add corned beef. Continue to saute for 3 to 5 minutes. Remove from the pan and let it cool down.,,
582,63,2,Crack the eggs and place in a large mixing bowl. Add the salt and pepper.. Beat until all the ingredients are well incorporated.,,
583,63,3,Add saut?ed Corned beef and green onions. Stir to mix the ingredients. Note: Make sure that the corned beef has cooled down before you execute this step,,
584,63,4,Heat a frying pan. Add 1 tablespoon cooking oil or use a cooking oil spray and spray oil on the pan.,,
585,63,5,Scoop around _ to _ cups of the corned beef and egg mixture and pour in the pan. Cook for 3 minutes on medium heat.,,
586,63,6,Use a spatula to flip the omelet and cook the other side for 2 to 3 minutes. Transfer to a serving plate. Serve.,,
587,64,1,Pour water in a cooking pot. Bring to a boil.,,
588,64,2,Put-in the tablea and then stir. Let it dissolve in boiling water.,,
589,64,3,Add-in the rice. Let the water re-boil. Set the heat to low-medium and then stir almost constantly to avoid sticking. The rice should be ready when it absorbs the water (about 15 to 25 minutes).,,
590,64,4,Add the sugar. Stir until the sugar dissolves.,,
591,64,5,Transfer the champorado in individual serving bowls. Top with condensed milk.,,
592,65,1,Pour water in a cooking pot. Bring to a boil.,,
593,65,2,"Put-in the rice. Continue cooking for 30 minutes or until the texture becomes thick, while stirring once in awhile.",,
594,65,3,"Add the salt, stir and then cook for 2 minutes more.",,
595,65,4,Transfer to a serving bowl.,,
596,65,5,Serve hot. Share and enjoy!,,
597,66,1,"In a large mixing bowl, combine warm water, yeast, and 1 teaspoon of the sugar. Stir and let stand for about 5 minutes or until mixture is foamy.",,
598,66,2,"?Add the remaining sugar, eggs, milk, melted butter, and salt. Stir with a wooden spoon until well-combined.",,
599,66,3,"Add the flour gradually while stirring, adding only enough until the dough has gathered in the center of the bowl. It should still be soft and not dry. You may not need the entire amount of flour.",,
600,66,4,"Turn the dough over on a floured surface and knead until smooth, elastic, and has lost some of its stickiness. Use some of the remaining flour to prevent the dough from sticking too much on the board or on hands.",,
601,66,5,"?Shape the dough into a ball and place in a bowl. Cover the bowl with a kitchen towel and let the dough rise for about an hour, or until double in size.",,
602,66,6,"Once risen, gently deflate the dough and divide it into 4 equal portions. Divide each portion into 4 smaller equal portions for a total of 16 pieces.",,
603,66,7,"Using the palm of hands or a rolling pin, flatten each portion to form a rectangular dough about 6 inches in length and 4-inches in width.",,
604,66,8,"Roll the flattened dough lengthwise to form a log. Using hands, roll the log back and forth against the kneading surface to elongate to 13 to 15 inches long.",,
605,66,9,Braid the log into a twisted rope by folding in the middle the log midways and overlapping each side over each other. Repeat with the remaining portions.,,
606,66,10,Arrange the braided dough in a single layer on a large baking pan at about an inch apart. Cover with a kitchen towel and let rise for 30 minutes or until puffy.,,
607,66,11,"In a heavy bottom pan over medium heat, heat about 3 inches of cooking oil to 350 F.",,
608,66,12,"Add the dough 2 to 3 at a time, starting with the puffiest ones, and deep-fry the dough for about 1 to 3 minutes or until golden. Adjust the heat from time to time to prevent the donuts from burning.",,
609,66,13,"With a slotted spoon, remove fried donuts from the oil and drain on paper towels. In a shallow plate, toss the donuts in sugar to fully coat. Serve warm.",,
610,67,1,"Place avocado, ice, sugar, and milk into a blender. Puree until smooth.",,
611,68,1,Broil eggplant until tender.Peel off the skin and mash the meat with a fork keeping everything intact.,,
612,68,2,Heat 1 tbsp canola oil in a small skillet.,,
613,68,3,Saut? onion.Once onion is translucent add tomato and ground pork.Cook until meat is brown.,,
614,68,4,Add salt and pepper to taste.,,
615,68,5,Add the saut?ed mixture to beaten eggs.,,
616,68,6,Heat leftover oil in another skillet. Put eggplant and a little of the egg mixture in a saucer.,,
617,68,7,"Bring saucer near the skillet and tip,lowering eggplant into the oil.",,
618,68,8,Fry on both sides until golden brown.,,
619,69,1,"Using hands, break rice to separate grains. Set aside.",,
620,69,2,"In a wide pan or wok over high heat, heat 1 tablespoon of the oil. Add eggs and cook, stirring regularly, until set but still moist. Remove from pan and keep warm.",,
621,69,3,"In the pan, heat 1 tablespoon of the oil. Add onions and garlic and cook until softened.",,
622,69,4,"Add tinapa flakes and cook, stirring regularly, for 2 to 3 minutes or until heated through. Remove from pan and keep warm.",,
623,69,5,"In the pan, add the remaining 1 tablespoon oil and heat until almost smoking. Add rice and cook, spreading the rice on entire cooking surface of pan, for about 45 seconds or until grains start to sizzle and then toss to redistribute. Repeat a few times until rice is heated through.?",,
624,69,6,Add soy sauce and season with salt and pepper to taste.,,
625,69,7,"Add the tinapa?flakes, eggs, and green onions. Gently toss to distribute. Cook for another 1 to 2 minutes or until completely heated through. Serve hot.",,
626,70,1,"In a pot, heat the cooking oil then saute the garlic, onion, and ginger",,
627,70,2,Dash-in some ground black pepper,,
628,70,3,Add the chicken cube and cook until the cube melts,,
629,70,4,Put-in the chicken and cook until outer layer color turns golden brown,,
630,70,5,Add the fish sauce and uncooked rice then mix and cook for a few minutes,,
631,70,6,Pour-in the water and bring to a boil,,
632,70,7,Stir occasionally and simmer until the rice is fully cooked (about 30 to 40 minutes),,
633,70,8,Put-in the hard boiled eggs,,
634,70,9,Add the safflower for additional color and aroma,,
635,70,10,"Serve hot with garlic, minced scallions, and lemon. Share and Enjoy!",,
636,71,1,Marinate pork slices in DEL MONTE Quick 'n Easy Barbecue Marinade for 15 minutes. Drain and reserve marinade.,,
637,71,2,"Saut? pork in margarine over high heat for 5 minutes or until cooked. Add peas, marinade, and salt. Allow to simmer. Add rice. Cook for 2 minutes with continuous stirring.",,
638,71,3,Heat oil and saut? onions until translucent. Add the pork and saut? for 3 minutes or until the pork turns white and no extra juices are running in the pan. Add the stock and allow to boil.,,
639,72,1,Add flour-water mixture then add DEL MONTE Quick n Easy Curry Mix. Turn down to simmer for 30 minutes or until pork is almost tender.,,
640,72,2,Add the potatoes and carrots and cook for another 15 minutes or until the potatoes and carrots are fork tender.,,
641,72,3,Serve on top of steamed white rice.,,
642,73,1,Place the butter in a pot over medium heat and saut? garlic until golden in color. Set aside.,,
643,73,2,Place the chicken and cook for about 10 minutes.,,
644,73,3,"Pour in dark soy sauce, vinegar, bay leaves, peppercorns and let it simmer for about 5 minutes.",,
645,73,4,"Add in cream and quick melt cheese (optional), continue cooking.",,
646,73,5,Season with salt and pepper to taste.,,
647,73,6,Transfer to a plate and garnish with the toasted garlic.,,
648,74,1,"Melt the butter in a saucepan, then stir in the flour. Pour the stock and milk gradually, stirring constantly. Cook slowly until slightly thickened. Season with salt.",,
649,74,2,"Add the diced chicken, sliced button mushrooms, red and green bell peppers.",,
650,74,3,Serve in a plate and enjoy.,,
651,75,1,Insert cheese cubes in between the chicken bone and meat. Secure both ends of the meat with a toothpick.,,
652,75,2,"Season chicken pieces with salt and pepper, then coat with flour. Shake well, then dip in egg and cover with breadcrumbs.",,
653,75,3,Deep-fry in oil until golden brown. Serve hot.,,
654,76,1,Cook the chicken in garlic and onion. Pour with fish sauce and add the pepper to taste.,,
655,76,2,"Add the chorizo, red bell pepper, green bell peppers, and tomato sauce. Let it boil.",,
656,76,3,"Add water, then put the carrots and let it simmer. Add the fried potatoes and cheese",,
657,77,1,Clean the fish thoroughly. Create a slit on both sides and rub salt all over. Let it stay for 10 to 15 minutes.,,
658,77,2,"Arrange pork fat, kamias, fish, and ginger. Pour water. Cover and let boil. Continue to cook in medium heat for 40 minutes.",,
659,77,3,"Pour coconut milk into the pot. Add garlic, onion, and chili. Cover and continue to boil for another 40 minutes using between low to medium heat.",,
660,77,4,Add eggplant. Cook for 5 to 7 minutes. Season with patis and ground black pepper.,,
661,77,5,Transfer to a serving plate and serve.,,
662,77,6,Share and enjoy!,,
663,78,1,Heat oil in a cooking pot.,,
664,78,2,Saute the garlic and onion until the onion becomes soft.,,
665,78,3,Put-in the shrimp. Cook for 1 to 2 minutes.,,
666,78,4,Remove from the pot and set aside.,,
667,78,5,"Meanwhile, put-in the bagoong alamang and pour-in the coconut milk. Stir and let boil.",,
668,78,6,Add the kalabasa. Cook for 8 to 12 minutes or until tender.,,
669,78,7,Put the shrimp back in the pot. Stir and cook for a minute.,,
670,78,8,Add the string beans (sitaw) and malunggay leaves. Cook for 2 to 3 minutes.,,
671,78,9,Add salt and pepper to taste.,,
672,78,10,Transfer to a serving plate. Serve.,,
673,79,1,Heat oil in a pan. Saute garlic and onion until the later softens.,,
674,79,2,Prepare the coconut milk by combining water and Knorr Ginataang Gulay Recipe Mix. Stir until the mixture gets well blended.,,
675,79,3,Pour coconut milk into the pan. Cover and let it boil.,,
676,79,4,Add eggplant. Cover the pan and cook for 8 minutes.,,
677,79,5,Add air fried tofu. Stir and cook for 3 minutes.,,
678,79,6,Add malunggay leaves. Stir and continue cooking for 1 minute.,,
679,79,7,Season with ground black pepper and salt as needed.,,
680,79,8,Serve. Share and enjoy!,,
681,80,1,Boil water in a cooking pot. Add chicken. Cover and continue boiling for 18 minutes. Remove chicken from the pot and let it cool down. Save the chicken stock for later.,,
682,80,2,Separate the bone from the meat and then shred. Set shredded chicken aside.,,
683,80,3,Heat oil in a cooking pot. Add crushed garlic right away. Continue cooking the garlic until it turns light brown.,,
684,80,4,Add onion. Saut? until it softens.,,
685,80,5,Add sayote. Cook for 1 minute.,,
686,80,6,Put shredded chicken into the pot and pour-in chicken stock. Cover the pot and let the liquid boil.,,
687,80,7,Add Knorr Chicken Cube. Stir and add the sotanghon noodles. Cook until noodles are soft.,,
688,80,8,Add malunggay leaves. Cook for 1 minute.,,
689,80,9,Season with patis and ground black pepper. Transfer to a serving bowl. Share and enjoy!,,
